НД 1.1,1
НД 1.2,2
НД 1.3,3
НД 1.4,4
НД 2,1
НД 3,1
НД 4,2
НД 5,2
НД 6,3
НД 7,3
НД 8,4
НД 9,4
НД 10,4
НД 11,5
НД 12,6
НД 13,6
НД 14,6
НД 15,7
НД 16,7
НД 17,7
НД 18,8
НД 19,9
НД 20,9
НД 21,9
НД 22,10
НД 23,10
НД 24,10
НД 25,10
НД 26,10
НД 27,11
НД 28,11
НД 29,11
НД 30,11
НД 31,11
НД 32,13
НД 33,13
ВД 1,10
ВД 2,10
ВД 3,10
ВД 3,13
ВД 4,10
ВД 5,10
ВД 6,10
ВД 6,13
ВД 7,11
ВД 8,11
ВД 8,13
ВД 9,11
ВД 10,11
ВД 10,13
ВД 11,11
ВД 12,11
ВД 13,11
ВД 13,14
ВД 14,11
ВД 14,14
ВД 15,12
ВД 16,12
ВД 17,12
ВД 18,12
ВД 19,12
ВД 20,12
ВД 21,13
ВД 22,13
ВД 23,13
ВД 24,14
ВД 25,14
ПР 1,5
ПР 2,9
ПР 3,12
ПР 4,14
AT 1,13
AT 1,14
AT 1,15
