,ЗК 1,ЗК 2,ЗК 3,ЗК 4,ЗК 5,ЗК 6,ЗК 7,ЗК 8,ЗК 9,ЗК 10,ЗК 11,ЗК 12,ЗК 13,ЗК 14,ЗК 15,ЗК 16,СК 1,СК 2,СК 3,СК 4,СК 5,СК 6,СК 7,СК 8,СК 9,СК 10,СК 11,СК 12,СК 13,СК 14,СК 15,СК 16,СК 17,СК 18,СК 19,СК 20,СК 21,СК 22
ВД 17,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,
ВД 18,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,
ВД 19,,1,,1,1,1,,,,,,,,,,,,,,,,1,1,,,1,,1,,,,,,,,,1,
ВД 20,,,,1,1,1,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
ВД 21,1,1,,1,1,1,1,,,,,,,,1,,1,1,,1,1,,,1,1,1,1,1,1,,,,,,,,1,
ВД 22,1,1,,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,
ВД 23,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,
ВД 24,1,1,,1,1,1,1,,,,,,,,1,,1,1,,1,1,,,1,1,1,1,1,1,,,,,,,,1,
ВД 25,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
НД 1.2,,1,,1,1,1,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1
НД 1.3,,1,,1,1,1,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1
НД 1.4,,1,,1,1,1,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1
AT 1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,
